count,word,rank,cumulative_fraction
112,unser,363,0.735
112,spiel,364,0.7353
112,nehmen,365,0.7356
112,mädchen,366,0.7359
112,mr,367,0.7362
112,gefallen,368,0.7365
112,eltern,369,0.7368
112,egal,370,0.7371
111,typ,371,0.7374
111,sehe,372,0.7377
111,bringen,373,0.738
110,sachen,374,0.7383
110,mom,375,0.7386
110,halt,376,0.7389
110,deswegen,377,0.7392
110,bloß,378,0.7395
109,group,379,0.7398
109,ernst,380,0.7401
108,seht,381,0.7404
108,raus,382,0.7407
108,kaffee,383,0.741
108,gestern,384,0.7413
107,sex,385,0.7416
107,namen,386,0.7419
106,witzig,387,0.7422
106,selbst,388,0.7424
106,andere,389,0.7427
105,verheiratet,390,0.743
105,sdi,391,0.7433
105,media,392,0.7436
105,liegt,393,0.7439
105,glück,394,0.7442
105,getan,395,0.7445
105,ben,396,0.7447
105,beiden,397,0.745
104,unter,398,0.7453
104,iich,399,0.7456
103,endlich,400,0.7459
102,stimmt,401,0.7462
102,party,402,0.7464
102,moment,403,0.7467
102,leider,404,0.747
101,sagst,405,0.7473
101,komme,406,0.7475
101,gefällt,407,0.7478
101,au,408,0.7481
101,arbeit,409,0.7484
100,gegen,410,0.7486
100,drin,411,0.7489
99,kopf,412,0.7492
98,wollt,413,0.7494
98,weit,414,0.7497
98,könnten,415,0.75
98,falsch,416,0.7502
98,denken,417,0.7505
97,mag,418,0.7508
96,sogar,419,0.751
96,ganze,420,0.7513
96,eins,421,0.7516
95,jemanden,422,0.7518
95,gib,423,0.7521
94,zimmer,424,0.7523
94,telefon,425,0.7526
94,sdh,426,0.7528
94,erzählt,427,0.7531
94,darauf,428,0.7534
93,jahren,429,0.7536
93,hättest,430,0.7539
93,dran,431,0.7541
92,wichtig,432,0.7544
92,irgendwas,433,0.7546
92,große,434,0.7549
91,später,435,0.7551
91,nämlich,436,0.7554
91,güte,437,0.7556
91,brauche,438,0.7559
91,bedeutet,439,0.7561
90,kleinen,440,0.7563
90,gibt's,441,0.7566
90,fassen,442,0.7568
90,denkst,443,0.7571
90,bevor,444,0.7573
90,arbeiten,445,0.7576
89,wohnen,446,0.7578
89,war's,447,0.7581
89,junge,448,0.7583
89,chance,449,0.7585
89,brauchen,450,0.7588
89,augenblick,451,0.759
88,vorstellen,452,0.7593
88,verstehen,453,0.7595
88,fall,454,0.7597
88,deinem,455,0.76
87,zwischen,456,0.7602
87,ziemlich,457,0.7605
87,wiedersehen,458,0.7607
87,läuft,459,0.7609
87,lernen,460,0.7612
87,großartig,461,0.7614
87,'nen,462,0.7616
86,welche,463,0.7619
86,trinken,464,0.7621
86,stehen,465,0.7623
86,schwer,466,0.7626
86,oft,467,0.7628
86,darum,468,0.7631
86,augen,469,0.7633
86,ahnung,470,0.7635
85,süß,471,0.7638
85,niemand,472,0.764
85,hand,473,0.7642
85,findest,474,0.7644
85,bing,475,0.7647
84,sage,476,0.7649
84,lustig,477,0.7651
84,kenne,478,0.7654
84,jeder,479,0.7656
84,gewesen,480,0.7658
84,anrufen,481,0.766
83,nummer,482,0.7663
83,mache,483,0.7665
83,früher,484,0.7667
83,find,485,0.767
83,anders,486,0.7672
82,sofort,487,0.7674
82,glücklich,488,0.7676
82,ging,489,0.7678
81,wolltest,490,0.7681
81,woher,491,0.7683
81,wahnsinnig,492,0.7685
81,versuchen,493,0.7687
81,tür,494,0.769
81,schluss,495,0.7692
81,kam,496,0.7694
80,tisch,497,0.7696
80,geworden,498,0.7698
80,dort,499,0.77
79,unbedingt,500,0.7703
79,kommst,501,0.7705
79,komisch,502,0.7707
79,jahr,503,0.7709
79,halten,504,0.7711
79,glauben,505,0.7713
78,wau,506,0.7715
78,mrs,507,0.7718
78,eines,508,0.772
78,drauf,509,0.7722
78,ding,510,0.7724
78,anderes,511,0.7726
77,wen,512,0.7728
77,schlafen,513,0.773
77,männer,514,0.7732
77,jungs,515,0.7735
77,jahre,516,0.7737
76,julie,517,0.7739
76,iund,518,0.7741
76,geschichte,519,0.7743
76,film,520,0.7745
76,brauchst,521,0.7747
75,marcel,522,0.7749
75,ihren,523,0.7751
75,gehst,524,0.7753
75,beziehung,525,0.7755
75,bald,526,0.7757
74,ruhig,527,0.7759
74,neue,528,0.7761
74,kennst,529,0.7763
74,hund,530,0.7765
74,guten,531,0.7767
74,gesicht,532,0.7769
73,mensch,533,0.7771
73,hätten,534,0.7773
73,hattest,535,0.7775
73,erzählen,536,0.7777
73,arzt,537,0.7779
72,leicht,538,0.7781
72,grund,539,0.7783
72,beste,540,0.7785
71,richtige,541,0.7787
71,iracheli,542,0.7789
71,imonicai,543,0.7791
71,ich's,544,0.7793
71,gekommen,545,0.7795
71,fahren,546,0.7797
71,ende,547,0.7799
71,darfst,548,0.7801
70,vorhin,549,0.7802
70,ring,550,0.7804
70,rede,551,0.7806
70,lässt,552,0.7808
70,lieb,553,0.781
70,küssen,554,0.7812
70,genug,555,0.7814
69,witz,556,0.7816
69,stunden,557,0.7818
69,seinen,558,0.782
69,schlecht,559,0.7821
69,schatz,560,0.7823
69,rolle,561,0.7825
69,lust,562,0.7827
69,hochzeit,563,0.7829
69,entschuldigen,564,0.7831
68,tolle,565,0.7833
68,name,566,0.7834
68,minuten,567,0.7836
68,ganzen,568,0.7838
67,neuen,569,0.784
67,lieben,570,0.7842
67,kurz,571,0.7844
67,hab's,572,0.7845
67,gewonnen,573,0.7847
66,wort,574,0.7849
66,ehrlich,575,0.7851
65,wollten,576,0.7853
65,tot,577,0.7854
65,sexy,578,0.7856
65,sah,579,0.7858
65,niemals,580,0.786
65,manchmal,581,0.7862
65,geburtstag,582,0.7863
64,miteinander,583,0.7865
64,jeden,584,0.7867
64,hilfe,585,0.7869
64,fest,586,0.787
64,damals,587,0.7872
63,wenig,588,0.7874
63,unterhalten,589,0.7875
63,uhr,590,0.7877
63,passieren,591,0.7879
63,könntest,592,0.7881
63,eure,593,0.7882
63,dad,594,0.7884
63,cool,595,0.7886
63,anfangen,596,0.7887
62,zeigen,597,0.7889
62,während,598,0.7891
62,werdet,599,0.7893
62,verstehst,600,0.7894
62,könnt,601,0.7896
62,gesprochen,602,0.7898
61,tanzen,603,0.7899
61,jedenfalls,604,0.7901
61,geschlafen,605,0.7903
61,dürfen,606,0.7904
60,schlüssel,607,0.7906
60,kaufen,608,0.7908
60,hol,609,0.7909
60,findet,610,0.7911
59,woche,611,0.7912
59,schwanger,612,0.7914
59,möglich,613,0.7916
59,kriege,614,0.7917
59,keiner,615,0.7919
59,hinter,616,0.792
59,glaubst,617,0.7922
59,gefunden,618,0.7924
59,fantastisch,619,0.7925
59,denkt,620,0.7927
59,büro,621,0.7928
59,allen,622,0.793
58,zuerst,623,0.7932
58,tust,624,0.7933
58,kann's,625,0.7935
58,guter,626,0.7936
58,gefragt,627,0.7938
58,gab,628,0.794
58,fand,629,0.7941
57,vorbei,630,0.7943
57,verloren,631,0.7944
57,seh,632,0.7946
57,ruf,633,0.7947
57,rach,634,0.7949
57,letzten,635,0.795
57,date,636,0.7952
57,böse,637,0.7954
57,besten,638,0.7955
57,art,639,0.7957
56,vergiss,640,0.7958
56,tribbiani,641,0.796
56,spät,642,0.7961
56,restaurant,643,0.7963
56,heißen,644,0.7964
56,einzige,645,0.7966
56,du's,646,0.7967
55,musste,647,0.7969
55,hintern,648,0.797
55,gelernt,649,0.7972
55,echt,650,0.7973
55,draußen,651,0.7975
55,daddy,652,0.7976
55,bob,653,0.7978
55,ansehen,654,0.7979
54,verstanden,655,0.7981
54,susan,656,0.7982
54,reicht,657,0.7984
54,nehme,658,0.7985
54,hältst,659,0.7987
54,gruppe,660,0.7988
54,gegangen,661,0.799
54,buch,662,0.7991
53,würd,663,0.7992
53,wartet,664,0.7994
53,unserer,665,0.7995
53,peinlich,666,0.7997
53,je,667,0.7998
53,ihrem,668,0.8
53,getroffen,669,0.8001
53,aufhören,670,0.8003
52,unsinn,671,0.8004
52,seinem,672,0.8005
52,oben,673,0.8007
52,nimm,674,0.8008
52,möchtest,675,0.801
52,kaum,676,0.8011
52,fast,677,0.8013
51,verliebt,678,0.8014
51,seiner,679,0.8015
51,schwierig,680,0.8017
51,schrecklich,681,0.8018
51,schlimm,682,0.8019
51,new,683,0.8021
51,mark,684,0.8022
51,kriegst,685,0.8024
51,hübsch,686,0.8025
51,hä,687,0.8026
51,hoffe,688,0.8028
51,großer,689,0.8029
51,fühle,690,0.8031
51,denen,691,0.8032
51,braucht,692,0.8033
50,verabredet,693,0.8035
50,tu,694,0.8036
50,suchen,695,0.8037
50,singen,696,0.8039
50,schauspieler,697,0.804
50,runter,698,0.8042
50,nachher,699,0.8043
50,funktioniert,700,0.8044
50,froh,701,0.8046
50,familie,702,0.8047
50,dollar,703,0.8048
50,by,704,0.805
50,alt,705,0.8051
50,ah,706,0.8052
49,wem,707,0.8054
49,verlassen,708,0.8055
49,trotzdem,709,0.8056
49,tragen,710,0.8058
49,ständig,711,0.8059
