count,word,rank,cumulative_fraction
93018,déjame,384,0.6852
92410,bastante,385,0.6855
92202,fin,386,0.6857
91566,escucha,387,0.686
91224,único,388,0.6863
91152,tomar,389,0.6865
91138,ningún,390,0.6868
90913,misma,391,0.6871
90683,suficiente,392,0.6873
90045,haya,393,0.6876
89896,equipo,394,0.6879
89873,grande,395,0.6881
89866,punto,396,0.6884
89670,cuándo,397,0.6886
89433,algunos,398,0.6889
89273,hubiera,399,0.6892
89245,necesita,400,0.6894
88969,llegar,401,0.6897
88663,sigue,402,0.6899
88660,clase,403,0.6902
88489,pequeño,404,0.6905
88440,coche,405,0.6907
88121,cuatro,406,0.691
88037,incluso,407,0.6912
87797,allá,408,0.6915
87621,tierra,409,0.6917
87527,primer,410,0.692
87389,llama,411,0.6922
87320,difícil,412,0.6925
87267,aunque,413,0.6928
87257,hago,414,0.693
87222,arriba,415,0.6933
86915,doctor,416,0.6935
86570,hiciste,417,0.6938
86533,dices,418,0.694
86526,toma,419,0.6943
86390,guerra,420,0.6945
85868,pensar,421,0.6948
85824,última,422,0.695
85798,loco,423,0.6953
85643,pueda,424,0.6955
85243,mujeres,425,0.6958
84836,sangre,426,0.696
84055,fui,427,0.6963
83970,igual,428,0.6965
83960,vuelta,429,0.6967
83803,cuerpo,430,0.697
83621,tenido,431,0.6972
83389,trabajar,432,0.6975
83303,ok,433,0.6977
83237,deberías,434,0.698
82849,juego,435,0.6982
82472,e,436,0.6984
81837,algunas,437,0.6987
81425,cree,438,0.6989
80937,entrar,439,0.6992
80873,fiesta,440,0.6994
80674,podía,441,0.6996
80414,oportunidad,442,0.6999
80309,auto,443,0.7001
80206,listo,444,0.7003
79912,quieren,445,0.7006
79538,debemos,446,0.7008
79454,estabas,447,0.701
79450,final,448,0.7013
79442,necesitamos,449,0.7015
79380,muchos,450,0.7017
79226,vete,451,0.7019
79128,teléfono,452,0.7022
78857,meses,453,0.7024
78447,vivir,454,0.7026
78167,número,455,0.7029
77809,dar,456,0.7031
77736,posible,457,0.7033
77622,exactamente,458,0.7035
77402,abajo,459,0.7038
77389,hermana,460,0.704
77280,escuela,461,0.7042
76865,habla,462,0.7044
76791,capitán,463,0.7047
76723,culpa,464,0.7049
76250,eran,465,0.7051
76115,atrás,466,0.7053
76041,ello,467,0.7055
75908,ido,468,0.7058
75819,chicas,469,0.706
75725,esté,470,0.7062
75650,diciendo,471,0.7064
75505,pregunta,472,0.7067
75322,segundo,473,0.7069
75223,unas,474,0.7071
75087,fuerte,475,0.7073
74832,malo,476,0.7075
74527,dame,477,0.7077
74224,conozco,478,0.708
74167,bebé,479,0.7082
74144,pasando,480,0.7084
73751,sabemos,481,0.7086
73552,mayor,482,0.7088
73543,vino,483,0.709
73528,morir,484,0.7092
73368,comida,485,0.7095
73178,fácil,486,0.7097
72915,comer,487,0.7099
72643,lista,488,0.7101
72549,necesitas,489,0.7103
72502,creer,490,0.7105
72244,haga,491,0.7107
71963,probablemente,492,0.7109
71776,fueron,493,0.7111
71634,pensando,494,0.7114
71272,dime,495,0.7116
71255,habitación,496,0.7118
71094,tuve,497,0.712
71090,hijos,498,0.7122
71073,buscando,499,0.7124
70980,padres,500,0.7126
70846,trata,501,0.7128
70835,joven,502,0.713
70365,par,503,0.7132
70112,amo,504,0.7134
70044,podrías,505,0.7136
69490,tampoco,506,0.7138
69300,sola,507,0.714
69014,hacen,508,0.7142
68795,única,509,0.7144
68338,medio,510,0.7146
68319,simplemente,511,0.7148
68012,dicen,512,0.715
67981,seguir,513,0.7152
67438,sentido,514,0.7154
67283,saben,515,0.7156
67277,arma,516,0.7158
67108,dólares,517,0.716
67017,pequeña,518,0.7162
66797,alto,519,0.7164
66796,hagas,520,0.7166
66637,lejos,521,0.7168
66561,segura,522,0.717
66469,esperar,523,0.7172
66312,puta,524,0.7174
65572,seis,525,0.7176
65317,estaban,526,0.7177
65299,estuvo,527,0.7179
65229,palabra,528,0.7181
64889,seguridad,529,0.7183
64780,preocupes,530,0.7185
64687,oficina,531,0.7187
64666,esperando,532,0.7189
64395,cama,533,0.7191
64019,matar,534,0.7193
63964,queda,535,0.7194
63489,último,536,0.7196
63467,acerca,537,0.7198
63375,iré,538,0.72
63192,luz,539,0.7202
63105,además,540,0.7204
62992,oído,541,0.7205
62923,dio,542,0.7207
62886,maldita,543,0.7209
62823,demonios,544,0.7211
62819,estará,545,0.7213
62447,tenga,546,0.7215
62446,habría,547,0.7216
62387,recuerdo,548,0.7218
62326,nuestras,549,0.722
62220,correcto,550,0.7222
61957,sitio,551,0.7224
61904,siendo,552,0.7225
61762,verte,553,0.7227
61454,dormir,554,0.7229
61445,marido,555,0.7231
61255,di,556,0.7233
60915,idiota,557,0.7234
60906,conseguir,558,0.7236
60903,cuanto,559,0.7238
60869,ayudar,560,0.724
60780,paz,561,0.7241
60502,john,562,0.7243
60045,murió,563,0.7245
59771,pueblo,564,0.7247
59665,vivo,565,0.7248
59607,aqui,566,0.725
59523,minuto,567,0.7252
59466,paso,568,0.7254
59338,basta,569,0.7255
59263,dado,570,0.7257
59138,peor,571,0.7259
59038,anoche,572,0.7261
58884,venido,573,0.7262
58669,plan,574,0.7264
58378,piensa,575,0.7266
58074,deberíamos,576,0.7267
57983,llamar,577,0.7269
57799,diga,578,0.7271
57701,país,579,0.7272
57409,pienso,580,0.7274
57261,digas,581,0.7276
57217,diablos,582,0.7277
57034,perdón,583,0.7279
56756,grandes,584,0.7281
56610,mucha,585,0.7282
56602,perdido,586,0.7284
56270,lleva,587,0.7286
56180,fuego,588,0.7287
56054,otras,589,0.7289
56022,diez,590,0.7291
55856,hospital,591,0.7292
55752,falta,592,0.7294
55699,maldito,593,0.7295
55684,llamado,594,0.7297
55671,niña,595,0.7299
55645,tuvo,596,0.73
55409,jack,597,0.7302
55258,semanas,598,0.7304
55209,llevar,599,0.7305
55170,señorita,600,0.7307
54996,calle,601,0.7308
54901,libro,602,0.731
54551,café,603,0.7312
54393,especial,604,0.7313
54379,cual,605,0.7315
54317,poner,606,0.7316
54236,acaba,607,0.7318
54166,afuera,608,0.7319
54155,orden,609,0.7321
54125,perro,610,0.7323
54119,increíble,611,0.7324
54118,prueba,612,0.7326
54106,rey,613,0.7327
53983,música,614,0.7329
53938,querida,615,0.733
53927,éste,616,0.7332
53878,duro,617,0.7334
53876,hacemos,618,0.7335
53671,cuarto,619,0.7337
53618,mía,620,0.7338
53484,piensas,621,0.734
53400,empezar,622,0.7341
53326,queremos,623,0.7343
53199,viaje,624,0.7344
53140,diré,625,0.7346
53115,querido,626,0.7348
53092,cielo,627,0.7349
53058,haría,628,0.7351
53020,detrás,629,0.7352
52990,jugar,630,0.7354
52937,preguntas,631,0.7355
52905,real,632,0.7357
52826,película,633,0.7358
52777,libre,634,0.736
52544,llamada,635,0.7361
52527,puesto,636,0.7363
52338,resto,637,0.7364
52309,buscar,638,0.7366
52251,ropa,639,0.7368
52164,extraño,640,0.7369
52116,suena,641,0.7371
52026,cambio,642,0.7372
51991,vemos,643,0.7374
51776,agente,644,0.7375
51748,millones,645,0.7377
51671,irme,646,0.7378
51389,mala,647,0.738
51335,habrá,648,0.7381
51081,palabras,649,0.7383
51062,vuelve,650,0.7384
50992,perder,651,0.7386
50798,entiendes,652,0.7387
50785,hará,653,0.7388
50782,modo,654,0.739
50620,general,655,0.7391
50532,presidente,656,0.7393
50456,raro,657,0.7394
50455,perfecto,658,0.7396
50430,trabajando,659,0.7397
50314,tratando,660,0.7399
50228,trato,661,0.74
50140,información,662,0.7402
49967,conoces,663,0.7403
49842,derecho,664,0.7405
49795,quieras,665,0.7406
49673,usar,666,0.7408
49547,ayer,667,0.7409
49506,sexo,668,0.741
49478,podríamos,669,0.7412
49427,the,670,0.7413
49349,noticias,671,0.7415
49209,odio,672,0.7416
49132,asesino,673,0.7418
49041,demás,674,0.7419
48849,estaré,675,0.742
48656,frente,676,0.7422
48389,armas,677,0.7423
48370,control,678,0.7425
48201,divertido,679,0.7426
48138,acabo,680,0.7427
48117,asunto,681,0.7429
48046,decirle,682,0.743
47979,uh,683,0.7432
47972,grupo,684,0.7433
47948,encontrado,685,0.7434
47946,recuerdas,686,0.7436
47618,encima,687,0.7437
47585,cállate,688,0.7439
47397,amiga,689,0.744
47354,atención,690,0.7441
47235,sam,691,0.7443
47042,diferente,692,0.7444
46750,mensaje,693,0.7445
46669,sino,694,0.7447
46665,sucede,695,0.7448
46589,daño,696,0.745
46480,cambiar,697,0.7451
46409,siguiente,698,0.7452
46388,seas,699,0.7454
46360,dejó,700,0.7455
46248,boca,701,0.7456
46226,error,702,0.7458
46006,jamás,703,0.7459
45914,largo,704,0.746
45781,baño,705,0.7462
45755,mil,706,0.7463
45754,médico,707,0.7464
45576,pena,708,0.7466
45385,decirte,709,0.7467
45347,secreto,710,0.7468
45324,sueño,711,0.747
45206,pensaba,712,0.7471
44934,voz,713,0.7472
44928,novia,714,0.7474
44888,futuro,715,0.7475
44848,s,716,0.7476
44838,propia,717,0.7477
44617,siente,718,0.7479
44410,haz,719,0.748
44325,estuve,720,0.7481
44048,supone,721,0.7483
43936,ésta,722,0.7484
43861,deben,723,0.7485
43853,encontré,724,0.7486
43853,fuerza,725,0.7488
43846,dile,726,0.7489
43775,estábamos,727,0.749
43701,york,728,0.7492
43504,vuelto,729,0.7493
43491,edad,730,0.7494
43407,ambos,731,0.7495
43368,cita,732,0.7497
43331,aire,733,0.7498
43260,darle,734,0.7499
43224,dolor,735,0.75
43094,verlo,736,0.7502
43032,pie,737,0.7503
43018,campo,738,0.7504
42945,negro,739,0.7505
42931,adónde,740,0.7507
42902,vio,741,0.7508
42860,asesinato,742,0.7509
42849,encanta,743,0.751
42721,disculpe,744,0.7512
42694,mire,745,0.7513
42658,sistema,746,0.7514
42642,pobre,747,0.7515
42554,tuyo,748,0.7517
42466,gusto,749,0.7518
42360,lamento,750,0.7519
42341,estaría,751,0.752
42339,ganar,752,0.7522
42252,fuiste,753,0.7523
42232,mente,754,0.7524
42170,llegado,755,0.7525
42111,negocio,756,0.7526
41927,asi,757,0.7528
41648,ay,758,0.7529
41577,alrededor,759,0.753
41558,tras,760,0.7531
41444,situación,761,0.7533
41343,foto,762,0.7534
41297,pelo,763,0.7535
41292,ocurre,764,0.7536
41289,llamo,765,0.7537
41282,mató,766,0.7539
41245,loca,767,0.754
41232,quiera,768,0.7541
41214,hotel,769,0.7542
41166,sientes,770,0.7543
41063,mitad,771,0.7545
41034,próxima,772,0.7546
40987,hablas,773,0.7547
40984,vosotros,774,0.7548
40965,funciona,775,0.7549
40937,recuerda,776,0.755
40916,abogado,777,0.7552
40883,pagar,778,0.7553
40869,propio,779,0.7554
40849,i,780,0.7555
40813,compañía,781,0.7556
40785,personal,782,0.7558
40779,terminado,783,0.7559
40677,viste,784,0.756
40542,oficial,785,0.7561
40529,cena,786,0.7562
40463,michael,787,0.7564
40391,conoce,788,0.7565
40388,relación,789,0.7566
40336,llegó,790,0.7567
40331,tenías,791,0.7568
40225,montón,792,0.7569
40215,accidente,793,0.7571
40207,mejores,794,0.7572
40169,creí,795,0.7573
40147,bonito,796,0.7574
40054,pase,797,0.7575
40025,través,798,0.7576
39978,estúpido,799,0.7578
39891,sentir,800,0.7579
39866,ellas,801,0.758
39668,caballeros,802,0.7581
39616,vive,803,0.7582
39475,caja,804,0.7583
39413,línea,805,0.7584
39406,eras,806,0.7586
39356,vista,807,0.7587
39304,pudo,808,0.7588
39266,charlie,809,0.7589
39255,tranquilo,810,0.759
39180,joe,811,0.7591
38999,sol,812,0.7592
38983,dan,813,0.7594
38936,centro,814,0.7595
38908,mes,815,0.7596
38901,haremos,816,0.7597
38836,comprar,817,0.7598
38766,quédate,818,0.7599
38658,totalmente,819,0.76
38566,tienda,820,0.7602
38459,completamente,821,0.7603
38436,mesa,822,0.7604
38365,hambre,823,0.7605
38301,david,824,0.7606
38259,io,825,0.7607
38251,tonto,826,0.7608
38250,gustan,827,0.7609
38140,entendido,828,0.761
38124,respuesta,829,0.7612
38011,novio,830,0.7613
37860,carta,831,0.7614
37822,muchachos,832,0.7615
37813,salvo,833,0.7616
37794,normal,834,0.7617
37760,frank,835,0.7618
37746,muchacho,836,0.7619
37746,barco,837,0.762
37689,placer,838,0.7621
37684,george,839,0.7623
37664,pude,840,0.7624
37656,siete,841,0.7625
37650,traje,842,0.7626
37589,pruebas,843,0.7627
37569,dirección,844,0.7628
37530,imposible,845,0.7629
37522,sean,846,0.763
37402,blanco,847,0.7631
37370,dijeron,848,0.7632
37183,tom,849,0.7633
37131,quisiera,850,0.7635
36929,acá,851,0.7636
36809,profesor,852,0.7637
36737,tendrá,853,0.7638
36568,carrera,854,0.7639
36512,servicio,855,0.764
36460,hermosa,856,0.7641
36425,ley,857,0.7642
36385,hubo,858,0.7643
36348,programa,859,0.7644
36200,dejado,860,0.7645
36186,cumpleaños,861,0.7646
36170,boda,862,0.7647
36071,reunión,863,0.7648
36044,universidad,864,0.7649
35959,canción,865,0.765
35922,culo,866,0.7651
35914,espere,867,0.7653
35758,decirme,868,0.7654
35753,tengas,869,0.7655
35737,hacía,870,0.7656
35660,cualquiera,871,0.7657
35605,sala,872,0.7658
35582,sal,873,0.7659
35548,llevo,874,0.766
35495,interesante,875,0.7661
35474,estés,876,0.7662
35414,tendrás,877,0.7663
35332,entra,878,0.7664
35224,carajo,879,0.7665
35223,suelo,880,0.7666
35197,hicieron,881,0.7667
35155,necesario,882,0.7668
35139,horrible,883,0.7669
35112,detective,884,0.767
35008,club,885,0.7671
34958,siéntate,886,0.7672
34931,mike,887,0.7673
34829,maldición,888,0.7674
34808,decisión,889,0.7675
34758,escuchar,890,0.7676
34628,embargo,891,0.7677
34616,fotos,892,0.7678
34615,intentando,893,0.7679
34572,prisa,894,0.768
34514,abuela,895,0.7681
34496,decía,896,0.7682
34459,muerta,897,0.7683
34417,silencio,898,0.7684
34352,dulce,899,0.7685
34313,gobierno,900,0.7686
34295,salió,901,0.7687
34244,avión,902,0.7688
34191,llamó,903,0.7689
34180,temo,904,0.769
34151,cárcel,905,0.7691
34139,nave,906,0.7692
34081,terrible,907,0.7693
34070,media,908,0.7694
34008,muertos,909,0.7695
33993,vámonos,910,0.7696
33946,amable,911,0.7697
33907,cámara,912,0.7698
33856,terminar,913,0.7699
33847,regalo,914,0.77
33714,ocho,915,0.7701
33678,pudiera,916,0.7702
33666,prometo,917,0.7703
33665,teniente,918,0.7704
33575,broma,919,0.7705
33558,negocios,920,0.7706
33558,acabó,921,0.7707
33545,partes,922,0.7708
33513,gracioso,923,0.7709
33482,papel,924,0.771
33472,navidad,925,0.7711
33406,capaz,926,0.7712
33383,das,927,0.7713
33322,ataque,928,0.7714
33266,querías,929,0.7715
33151,diría,930,0.7716
33088,deseo,931,0.7717
33085,ten,932,0.7718
33084,juro,933,0.7719
33040,principio,934,0.772
32936,mantener,935,0.772
32907,don,936,0.7721
32888,investigación,937,0.7722
32686,delante,938,0.7723
32658,vayas,939,0.7724
32581,basura,940,0.7725
32570,ejército,941,0.7726
32450,esposo,942,0.7727
32310,encontramos,943,0.7728
32292,tren,944,0.7729
32266,sale,945,0.773
32217,matrimonio,946,0.7731
32201,alegro,947,0.7732
32197,contacto,948,0.7733
32179,alma,949,0.7734
32173,dale,950,0.7735
32120,hazlo,951,0.7736
32094,junto,952,0.7737
32073,verdadero,953,0.7737
32031,maravilloso,954,0.7738
32022,tendré,955,0.7739
31915,disculpa,956,0.774
31894,vine,957,0.7741
31850,permiso,958,0.7742
31845,pies,959,0.7743
31814,tuya,960,0.7744
31696,saberlo,961,0.7745
31675,maestro,962,0.7746
31663,libertad,963,0.7747
31649,encuentra,964,0.7748
31613,miren,965,0.7749
31574,derecha,966,0.7749
31554,tipos,967,0.775
31544,tendremos,968,0.7751
31479,mirando,969,0.7752
31453,según,970,0.7753
31421,oro,971,0.7754
31358,espacio,972,0.7755
31356,crimen,973,0.7756
31336,ninguno,974,0.7757
31329,baja,975,0.7758
31325,aun,976,0.7759
31304,sorpresa,977,0.776
31290,podrían,978,0.776
31282,esperaba,979,0.7761
31255,locura,980,0.7762
31245,rato,981,0.7763
31212,veras,982,0.7764
31186,triste,983,0.7765
31136,segunda,984,0.7766
31081,infierno,985,0.7767
31027,peligro,986,0.7768
30963,anda,987,0.7769
